    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -2.158984301,      0.2651890204,      0.1509765152,       3.288669759,       1.479127093,       2.785489028
      -2.155315896,      0.2580740992,      0.1406540298,       3.292441755,       1.481727946,        2.78599243
      -2.151282869,      0.2493915219,      0.1284037259,       3.296490958,       1.482355506,       2.786281801
      -2.147460359,      0.2388043139,      0.1138750697,        3.30009916,       1.484965219,       2.786778895
      -2.143356876,      0.2258298322,     0.09717281083,       3.303852783,       1.476546628,       2.785997853
      -2.141942183,      0.2101193578,     0.07718953653,       3.304285066,       1.500384273,        2.78886072
      -2.134413062,      0.1903230193,     0.07072985695,       3.311415007,       1.362742281,       2.775198678
      -2.163120546,      0.1698025224,      0.2138569273,        3.27799208,       1.883661139,       2.889822064
      -1.942359742,      0.1249944654,      0.8945390102,       3.507473087,       2.160442155,       3.169630229
      -1.398378499,      0.2929728794,       1.712036088,       4.054177434,       2.260343316,       3.301888378
